scenario,label,perturbation_type,perturbation_level,trial_seed,derived_seed,node_count,edge_count_before,edge_count_after,probability_shift_mean_absolute,threshold,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,support,positive_support
baseline,Baseline graph,baseline,0.0,42,42,2889,16524,16524,0.0,0.4798469841480255,0.605814889812545,0.1865659017773951,0.5143648321218415,0.5688177199900529,0.1411371237458194,0.6393939393939394,0.23123287671232876,"[[1275, 1284], [119, 211]]",2889,330
baseline,Baseline graph,baseline,0.0,43,43,2889,16524,16524,0.0,0.4798469841480255,0.605814889812545,0.1865659017773951,0.5143648321218415,0.5688177199900529,0.1411371237458194,0.6393939393939394,0.23123287671232876,"[[1275, 1284], [119, 211]]",2889,330
baseline,Baseline graph,baseline,0.0,44,44,2889,16524,16524,0.0,0.4798469841480255,0.605814889812545,0.1865659017773951,0.5143648321218415,0.5688177199900529,0.1411371237458194,0.6393939393939394,0.23123287671232876,"[[1275, 1284], [119, 211]]",2889,330
baseline,Baseline graph,baseline,0.0,45,45,2889,16524,16524,0.0,0.4798469841480255,0.605814889812545,0.1865659017773951,0.5143648321218415,0.5688177199900529,0.1411371237458194,0.6393939393939394,0.23123287671232876,"[[1275, 1284], [119, 211]]",2889,330
baseline,Baseline graph,baseline,0.0,46,46,2889,16524,16524,0.0,0.4798469841480255,0.605814889812545,0.1865659017773951,0.5143648321218415,0.5688177199900529,0.1411371237458194,0.6393939393939394,0.23123287671232876,"[[1275, 1284], [119, 211]]",2889,330
baseline,Baseline graph,baseline,0.0,47,47,2889,16524,16524,0.0,0.4798469841480255,0.605814889812545,0.1865659017773951,0.5143648321218415,0.5688177199900529,0.1411371237458194,0.6393939393939394,0.23123287671232876,"[[1275, 1284], [119, 211]]",2889,330
baseline,Baseline graph,baseline,0.0,48,48,2889,16524,16524,0.0,0.4798469841480255,0.605814889812545,0.1865659017773951,0.5143648321218415,0.5688177199900529,0.1411371237458194,0.6393939393939394,0.23123287671232876,"[[1275, 1284], [119, 211]]",2889,330
baseline,Baseline graph,baseline,0.0,49,49,2889,16524,16524,0.0,0.4798469841480255,0.605814889812545,0.1865659017773951,0.5143648321218415,0.5688177199900529,0.1411371237458194,0.6393939393939394,0.23123287671232876,"[[1275, 1284], [119, 211]]",2889,330
baseline,Baseline graph,baseline,0.0,50,50,2889,16524,16524,0.0,0.4798469841480255,0.605814889812545,0.1865659017773951,0.5143648321218415,0.5688177199900529,0.1411371237458194,0.6393939393939394,0.23123287671232876,"[[1275, 1284], [119, 211]]",2889,330
baseline,Baseline graph,baseline,0.0,51,51,2889,16524,16524,0.0,0.4798469841480255,0.605814889812545,0.1865659017773951,0.5143648321218415,0.5688177199900529,0.1411371237458194,0.6393939393939394,0.23123287671232876,"[[1275, 1284], [119, 211]]",2889,330
remove_5,Remove 5% edges,edge_removal,0.05,42,10042,2889,16524,15698,0.006495778448879719,0.4798469841480255,0.6054951626463936,0.18999550004961893,0.5136725510557286,0.560508366194181,0.13804713804713806,0.6212121212121212,0.22589531680440772,"[[1279, 1280], [125, 205]]",2889,330
remove_5,Remove 5% edges,edge_removal,0.05,43,10043,2889,16524,15698,0.006313457153737545,0.4798469841480255,0.6069363032434545,0.18586385892815332,0.5150571131879543,0.5652492095633947,0.1398789509078682,0.6303030303030303,0.22894881673087508,"[[1280, 1279], [122, 208]]",2889,330
remove_5,Remove 5% edges,edge_removal,0.05,44,10044,2889,16524,15698,0.0071203880943357944,0.4798469841480255,0.6075976648075124,0.18865735894040495,0.5174800969193493,0.5718959820952787,0.1424731182795699,0.6424242424242425,0.23322332233223322,"[[1283, 1276], [118, 212]]",2889,330
remove_5,Remove 5% edges,edge_removal,0.05,45,10045,2889,16524,15698,0.006795317400246859,0.4798469841480255,0.6042340166021292,0.18510241254765114,0.5254413291796469,0.5750701623503499,0.1442241968557758,0.6393939393939394,0.23535973229224763,"[[1307, 1252], [119, 211]]",2889,330
remove_5,Remove 5% edges,edge_removal,0.05,46,10046,2889,16524,15698,0.0063536218367516994,0.4798469841480255,0.6067557166033133,0.1837807887381473,0.5160955347871236,0.5750737148744183,0.14352469959946595,0.6515151515151515,0.23522975929978118,"[[1276, 1283], [115, 215]]",2889,330
remove_5,Remove 5% edges,edge_removal,0.05,47,10047,2889,16524,15698,0.006564657669514418,0.4798469841480255,0.6089872938055823,0.18748920494070748,0.5216337833160263,0.5755604106717823,0.14411366711772666,0.6454545454545455,0.23561946902654868,"[[1294, 1265], [117, 213]]",2889,330
remove_5,Remove 5% edges,edge_removal,0.05,48,10048,2889,16524,15698,0.006371438503265381,0.4798469841480255,0.6082442241879522,0.19145258255403116,0.5199030806507442,0.5706241784788092,0.14218009478672985,0.6363636363636364,0.23242944106253458,"[[1292, 1267], [120, 210]]",2889,330
remove_5,Remove 5% edges,edge_removal,0.05,49,10049,2889,16524,15698,0.006639423314481974,0.4798469841480255,0.6057000248676685,0.18853638272251488,0.5199030806507442,0.5679846530960246,0.14120841819416158,0.6303030303030303,0.230726566833056,"[[1294, 1265], [122, 208]]",2889,330
remove_5,Remove 5% edges,edge_removal,0.05,50,10050,2889,16524,15698,0.006524296943098307,0.4798469841480255,0.6085059267943207,0.18748034877718417,0.5115957078573901,0.5738534228569399,0.1427627230667548,0.6545454545454545,0.23440043407487793,"[[1262, 1297], [114, 216]]",2889,330
remove_5,Remove 5% edges,edge_removal,0.05,51,10051,2889,16524,15698,0.00652345921844244,0.4798469841480255,0.6078238421731974,0.1893011026087773,0.518864659051575,0.5687182493161391,0.14140730717185385,0.6333333333333333,0.23119469026548672,"[[1290, 1269], [121, 209]]",2889,330
remove_10,Remove 10% edges,edge_removal,0.1,42,20042,2889,16524,14872,0.010838241316378117,0.4798469841480255,0.6047118310893222,0.19081269642996598,0.518864659051575,0.5607996731677857,0.13847203274215553,0.6151515151515151,0.22605790645879734,"[[1296, 1263], [127, 203]]",2889,330
remove_10,Remove 10% edges,edge_removal,0.1,43,20043,2889,16524,14872,0.010022533126175404,0.4798469841480255,0.6072566224969508,0.18834490924524316,0.5154032537210107,0.5628050730043697,0.13900134952766532,0.6242424242424243,0.22737306843267108,"[[1283, 1276], [124, 206]]",2889,330
remove_10,Remove 10% edges,edge_removal,0.1,44,20044,2889,16524,14872,0.010542207397520542,0.4798469841480255,0.6080115338614752,0.18984310938207924,0.5216337833160263,0.579519698745959,0.14555256064690028,0.6545454545454545,0.23814773980154355,"[[1291, 1268], [114, 216]]",2889,330
remove_10,Remove 10% edges,edge_removal,0.1,45,20045,2889,16524,14872,0.009962495416402817,0.4798469841480255,0.608819733087025,0.19023328344901264,0.520595361716857,0.5630963799779743,0.1394395078605605,0.6181818181818182,0.2275515895147797,"[[1300, 1259], [126, 204]]",2889,330
remove_10,Remove 10% edges,edge_removal,0.1,46,20046,2889,16524,14872,0.010512816719710827,0.4798469841480255,0.6024530178691961,0.18995290786198882,0.5160955347871236,0.5711144268002416,0.14209115281501342,0.6424242424242425,0.2327113062568606,"[[1279, 1280], [118, 212]]",2889,330
remove_10,Remove 10% edges,edge_removal,0.1,47,20047,2889,16524,14872,0.010787909850478172,0.4798469841480255,0.6104562625078451,0.19047938092540073,0.5223260643821391,0.5733116629365165,0.14334239130434784,0.6393939393939394,0.2341842397336293,"[[1298, 1261], [119, 211]]",2889,330
remove_10,Remove 10% edges,edge_removal,0.1,48,20048,2889,16524,14872,0.010505647398531437,0.4798469841480255,0.6137583336293772,0.1938633940745915,0.5250951886465905,0.5788340616007673,0.145578231292517,0.6484848484848484,0.23777777777777778,"[[1303, 1256], [116, 214]]",2889,330
remove_10,Remove 10% edges,edge_removal,0.1,49,20049,2889,16524,14872,0.010503163561224937,0.4798469841480255,0.6067569007780028,0.18492244532182872,0.5157493942540672,0.5722388006678746,0.14247491638795987,0.6454545454545455,0.23342465753424657,"[[1277, 1282], [117, 213]]",2889,330
