scenario,label,perturbation_type,perturbation_level,number_of_trials,metric,n,mean,standard_deviation,median,minimum,maximum,ci_95_lower,ci_95_upper,edge_count_before,mean_edge_count_after
baseline,Baseline graph,baseline,0.0,10,pr_auc,10,0.1865659017773951,0.0,0.1865659017773951,0.1865659017773951,0.1865659017773951,0.1865659017773951,0.1865659017773951,16524,16524.0
baseline,Baseline graph,baseline,0.0,10,roc_auc,10,0.605814889812545,0.0,0.605814889812545,0.605814889812545,0.605814889812545,0.605814889812545,0.605814889812545,16524,16524.0
baseline,Baseline graph,baseline,0.0,10,balanced_accuracy,10,0.5688177199900528,1.1702778228589004e-16,0.5688177199900529,0.5688177199900529,0.5688177199900529,0.5688177199900527,0.5688177199900529,16524,16524.0
baseline,Baseline graph,baseline,0.0,10,recall,10,0.6393939393939394,0.0,0.6393939393939394,0.6393939393939394,0.6393939393939394,0.6393939393939394,0.6393939393939394,16524,16524.0
baseline,Baseline graph,baseline,0.0,10,f1,10,0.23123287671232876,0.0,0.23123287671232876,0.23123287671232876,0.23123287671232876,0.23123287671232876,0.23123287671232876,16524,16524.0
baseline,Baseline graph,baseline,0.0,10,probability_shift_mean_absolute,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16524,16524.0
remove_5,Remove 5% edges,edge_removal,0.05,10,pr_auc,10,0.18776595408071906,0.0023347393715638914,0.18801279383161118,0.1837807887381473,0.19145258255403116,0.18609578214758796,0.18943612601385015,16524,15698.0
remove_5,Remove 5% edges,edge_removal,0.05,10,roc_auc,10,0.6070280175731524,0.0015078381113864722,0.6072669840254834,0.6042340166021292,0.6089872938055823,0.6059493751670597,0.6081066599792451,16524,15698.0
remove_5,Remove 5% edges,edge_removal,0.05,10,balanced_accuracy,10,0.5704538349497319,0.004916033617294749,0.571260080287044,0.560508366194181,0.5755604106717823,0.5669371163515292,0.5739705535479346,16524,15698.0
remove_5,Remove 5% edges,edge_removal,0.05,10,recall,10,0.6384848484848484,0.01030600076014927,0.6378787878787879,0.6212121212121212,0.6545454545454545,0.6311123796679545,0.6458573173017423,16524,15698.0
remove_5,Remove 5% edges,edge_removal,0.05,10,f1,10,0.2323027548722049,0.003165669142533126,0.2328263816973839,0.22589531680440772,0.23561946902654868,0.23003817158901962,0.23456733815539016,16524,15698.0
remove_5,Remove 5% edges,edge_removal,0.05,10,probability_shift_mean_absolute,10,0.006570183858275414,0.0002404548574366938,0.006523878080770373,0.006313457153737545,0.0071203880943357944,0.006398172815429633,0.006742194901121194,16524,15698.0
remove_10,Remove 10% edges,edge_removal,0.1,10,pr_auc,10,0.19017479526110023,0.002415698424744399,0.1903306336829546,0.18492244532182872,0.1938633940745915,0.18844670871017416,0.1919028818120263,16524,14872.0
remove_10,Remove 10% edges,edge_removal,0.1,10,roc_auc,10,0.6082828874915628,0.0032219762479814506,0.6084156334742501,0.6024530178691961,0.6137583336293772,0.6059780245316388,0.6105877504514867,16524,14872.0
remove_10,Remove 10% edges,edge_removal,0.1,10,balanced_accuracy,10,0.5702724785960426,0.0064944892473321894,0.5716766137340581,0.5607996731677857,0.579519698745959,0.5656266008620965,0.5749183563299887,16524,14872.0
remove_10,Remove 10% edges,edge_removal,0.1,10,recall,10,0.6363636363636365,0.013092405451329017,0.6393939393939394,0.6151515151515151,0.6545454545454545,0.6269978937080288,0.6457293790192441,16524,14872.0
remove_10,Remove 10% edges,edge_removal,0.1,10,f1,10,0.2321919396117181,0.004203986544364078,0.23306798189555358,0.22605790645879734,0.23814773980154355,0.22918458880452522,0.235199290418911,16524,14872.0
